epoch,time,box_loss,cls_loss,dfl_loss,precision,recall,mAP@.5,mAP@.5:.95
0,86.1,0.1279,0.0308,0.0673,0.0032,0.5620,0.0096,0.0026
1,127.8,0.0852,0.0442,0.0621,0.1170,0.2110,0.0856,0.0374
2,170.1,0.0619,0.0338,0.0528,0.1170,0.1010,0.0753,0.0305
3,213.6,0.0612,0.0380,0.0581,0.0834,0.2440,0.1260,0.0543
4,260.4,0.0509,0.0294,0.0545,0.1290,0.3520,0.1530,0.0690
5,302.4,0.0635,0.0232,0.0457,0.1670,0.4350,0.1840,0.0898
6,344.7,0.0585,0.0282,0.0488,0.1720,0.3090,0.1870,0.0996
7,385.4,0.0446,0.0196,0.0519,0.1680,0.3910,0.2420,0.1140
8,430.4,0.0372,0.0198,0.0596,0.2290,0.3970,0.2500,0.1250
9,473.1,0.0527,0.0214,0.0472,0.2270,0.3740,0.2970,0.1600
10,518.2,0.0383,0.0192,0.0557,0.2900,0.4560,0.3270,0.1800
11,560.4,0.0408,0.0210,0.0350,0.2650,0.4200,0.3460,0.1910
12,603.0,0.0468,0.0211,0.0486,0.2950,0.4860,0.3510,0.1720
13,646.0,0.0401,0.0239,0.0448,0.3260,0.4900,0.3830,0.1840
14,690.1,0.0380,0.0242,0.0431,0.4520,0.4360,0.4280,0.2370
15,733.3,0.0607,0.0237,0.0274,0.4920,0.4510,0.4270,0.2490
16,777.6,0.0437,0.0232,0.0368,0.3200,0.4680,0.4130,0.2380
17,820.4,0.0403,0.0285,0.0198,0.4650,0.4350,0.4070,0.2210
18,862.0,0.0438,0.0285,0.0257,0.4170,0.4960,0.4720,0.2550
19,902.7,0.0255,0.0185,0.0240,0.4870,0.5030,0.4980,0.2520
20,946.8,0.0359,0.0185,0.0239,0.5440,0.4350,0.4470,0.2510
21,992.0,0.0391,0.0229,0.0296,0.7240,0.4650,0.5190,0.3100
22,1034.8,0.0350,0.0226,0.0235,0.6670,0.4280,0.4970,0.2490
23,1078.5,0.0392,0.0219,0.0348,0.5000,0.4970,0.5440,0.3140
24,1119.6,0.0345,0.0196,0.0353,0.3960,0.5430,0.5460,0.3030
25,1163.1,0.0417,0.0192,0.0272,0.4010,0.6030,0.5330,0.3030
26,1204.8,0.0344,0.0192,0.0310,0.5210,0.5660,0.5750,0.3470
27,1250.5,0.0360,0.0224,0.0308,0.4210,0.6050,0.5500,0.3150
28,1292.4,0.0407,0.0182,0.0252,0.4210,0.5960,0.5340,0.3370
29,1334.8,0.0390,0.0206,0.0210,0.4750,0.6140,0.6080,0.3660
30,1378.2,0.0390,0.0263,0.0262,0.5050,0.6110,0.6120,0.3780
31,1421.7,0.0375,0.0320,0.0178,0.5620,0.5680,0.6380,0.3720
32,1463.8,0.0326,0.0222,0.0360,0.5260,0.6270,0.6190,0.3820
33,1506.6,0.0167,0.0143,0.0227,0.5350,0.5880,0.6340,0.3900
34,1552.8,0.0402,0.0207,0.0165,0.5970,0.5480,0.6190,0.3910
35,1594.3,0.0329,0.0191,0.0172,0.5370,0.6430,0.6580,0.4170
36,1635.8,0.0461,0.0214,0.0162,0.6310,0.5980,0.6700,0.4160
37,1677.7,0.0402,0.0218,0.0316,0.6910,0.5810,0.6710,0.4330
38,1717.8,0.0336,0.0226,0.0333,0.6290,0.6830,0.6990,0.4640
39,1760.5,0.0339,0.0206,0.0150,0.5820,0.7050,0.6930,0.4470
40,1801.4,0.0268,0.0196,0.0200,0.7170,0.6900,0.7560,0.5070
41,1843.3,0.0335,0.0206,0.0159,0.6830,0.7110,0.7510,0.4870
42,1887.4,0.0405,0.0218,0.0153,0.6960,0.6850,0.7340,0.4690
43,1927.9,0.0430,0.0160,0.0136,0.7130,0.7260,0.7490,0.5050
44,1971.0,0.0442,0.0185,0.0206,0.7920,0.7400,0.8000,0.5350
45,2012.3,0.0274,0.0215,0.0154,0.7960,0.6510,0.7820,0.5280
46,2057.1,0.0283,0.0236,0.0104,0.7900,0.7280,0.7960,0.5330
47,2098.5,0.0324,0.0173,0.0335,0.7850,0.7360,0.7940,0.5430
48,2141.3,0.0435,0.0227,0.0296,0.7670,0.7170,0.7780,0.5280
49,2186.4,0.0343,0.0203,0.0266,0.7850,0.7180,0.7810,0.5380
50,2231.8,0.0176,0.0168,0.0150,0.7220,0.7680,0.7770,0.5430
51,2275.0,0.0302,0.0221,0.0156,0.7590,0.7480,0.7710,0.5400
52,2316.9,0.0415,0.0208,0.0079,0.8020,0.7150,0.7820,0.5420
53,2359.5,0.0254,0.0188,0.0142,0.7660,0.7420,0.7910,0.5430
54,2400.5,0.0222,0.0170,0.0194,0.7770,0.7580,0.7860,0.5480
55,2443.3,0.0239,0.0170,0.0063,0.7850,0.7620,0.7880,0.5450
56,2485.0,0.0389,0.0155,0.0215,0.7360,0.7870,0.7900,0.5570
57,2530.3,0.0290,0.0212,0.0235,0.7380,0.7780,0.7870,0.5550
58,2571.4,0.0254,0.0179,0.0198,0.7950,0.7540,0.7770,0.5500
59,2614.1,0.0297,0.0162,0.0163,0.7640,0.7730,0.7810,0.5460
59,2624.1,0.0297,0.0162,0.0163,0.7360,0.7860,0.7900,0.5570
