epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.809,1.14233,3.52999,1.40766,0.00658,0.97525,0.1823,0.11456,0.89994,3.07568,1.33223,0.000249213,0.000249213,0.000249213
2,37.0668,1.1206,2.93939,1.38145,0.34462,0.23355,0.19726,0.12891,1.07014,2.53702,1.43734,0.000497205,0.000497205,0.000497205
3,54.7132,1.12165,2.60657,1.37833,0.26206,0.45857,0.27507,0.17693,1.13429,2.37969,1.52653,0.000736738,0.000736738,0.000736738
4,73.2712,1.12657,2.46896,1.38139,0.2151,0.40744,0.24711,0.14318,1.4506,3.25839,1.83904,0.000730935,0.000730935,0.000730935
5,90.368,1.11289,2.32156,1.37364,0.35321,0.46759,0.40988,0.27659,1.01855,2.48734,1.4538,0.000718246,0.000718246,0.000718246
6,107.973,1.10389,2.16785,1.36057,0.41821,0.46298,0.41704,0.25741,1.14521,2.33145,1.51664,0.000705558,0.000705558,0.000705558
7,127.162,1.08524,2.08119,1.34144,0.44091,0.48125,0.49446,0.31653,1.13388,2.09629,1.50303,0.000692869,0.000692869,0.000692869
8,145.118,1.06672,2.04658,1.33321,0.57789,0.56759,0.54592,0.36481,1.04111,1.94345,1.41114,0.000680181,0.000680181,0.000680181
9,163.672,1.02586,1.93998,1.30456,0.58429,0.45772,0.55187,0.36669,1.05346,1.92665,1.44714,0.000667492,0.000667492,0.000667492
10,181.657,1.01938,1.82864,1.28809,0.57347,0.57314,0.59694,0.40464,1.0314,1.71306,1.43713,0.000654804,0.000654804,0.000654804
11,199.597,1.00775,1.77815,1.28025,0.53725,0.62994,0.58478,0.41258,0.98667,1.77842,1.34322,0.000642115,0.000642115,0.000642115
12,217.844,0.97468,1.73474,1.26876,0.62086,0.57757,0.62245,0.41172,1.0612,1.63711,1.45351,0.000629427,0.000629427,0.000629427
13,235.556,0.98709,1.65889,1.25205,0.56515,0.5312,0.52938,0.3383,1.1626,1.89206,1.5646,0.000616738,0.000616738,0.000616738
14,254.876,0.95717,1.6361,1.2554,0.65096,0.6727,0.71136,0.4845,0.95552,1.53421,1.31739,0.00060405,0.00060405,0.00060405
15,272.815,0.94134,1.55309,1.24063,0.67926,0.60837,0.67794,0.46493,0.98319,1.67238,1.44318,0.000591361,0.000591361,0.000591361
16,290.684,0.95169,1.52312,1.23269,0.67842,0.62622,0.70272,0.50107,1.00288,1.53942,1.36405,0.000578672,0.000578672,0.000578672
17,310.284,0.95235,1.51901,1.24216,0.61518,0.65229,0.68099,0.47779,0.97527,1.48918,1.32733,0.000565984,0.000565984,0.000565984
18,328.065,0.92411,1.43061,1.2305,0.615,0.72601,0.68964,0.48685,0.97033,1.46189,1.34403,0.000553296,0.000553296,0.000553296
19,347.339,0.91134,1.4023,1.21567,0.78526,0.67263,0.77436,0.56974,0.89953,1.33773,1.28498,0.000540607,0.000540607,0.000540607
20,365.689,0.86523,1.33916,1.18449,0.69314,0.73188,0.77571,0.56956,0.89206,1.38031,1.27834,0.000527919,0.000527919,0.000527919
21,383.132,0.88582,1.32854,1.19565,0.71915,0.7213,0.73387,0.52404,0.91978,1.40092,1.3009,0.00051523,0.00051523,0.00051523
22,401.425,0.89092,1.24979,1.18807,0.78719,0.7254,0.81425,0.60022,0.90133,1.12752,1.28264,0.000502541,0.000502541,0.000502541
